x,custom(x)
-19.984019935334853,1.0
-19.896753472735135,1.0
-19.809487010135417,1.0
-19.7222205475357,1.0
-19.63495408493598,1.0
-19.547687622336262,1.0
-19.460421159736544,1.0
-19.373154697136826,1.0
-19.285888234537108,1.0
-19.19862177193739,1.0
-19.11135530933767,1.0
-19.024088846737953,1.0
-18.936822384138235,1.0
-18.849555921538517,1.0
-18.7622894589388,1.0
-18.67502299633908,1.0
-18.587756533739363,1.0
-18.500490071139644,1.0
-18.413223608539926,1.0
-18.325957145940208,1.0
-18.23869068334049,1.0
-18.151424220740772,1.0
-18.064157758141054,1.0
-17.976891295541336,1.0
-17.889624832941617,1.0
-17.8023583703419,1.0
-17.71509190774218,1.0
-17.627825445142463,1.0
-17.540558982542745,1.0
-17.453292519943027,1.0
-17.36602605734331,1.0
-17.27875959474359,1.0
-17.191493132143872,1.0
-17.104226669544154,1.0
-17.016960206944436,1.0
-16.929693744344718,1.0
-16.842427281745,1.0
-16.75516081914528,1.0
-16.667894356545563,1.0
-16.580627893945845,1.0
-16.493361431346127,1.0
-16.40609496874641,1.0
-16.31882850614669,1.0
-16.231562043546973,1.0
-16.144295580947254,1.0
-16.057029118347536,1.0
-15.96976265574782,1.0
-15.882496193148103,1.0
-15.795229730548387,1.0
-15.70796326794867,1.0
-15.620696805348954,1.0
-15.533430342749238,1.0
-15.446163880149522,1.0
-15.358897417549805,1.0
-15.271630954950089,1.0
-15.184364492350372,1.0
-15.097098029750656,1.0
-15.00983156715094,1.0
-14.922565104551223,1.0
-14.835298641951507,1.0
-14.74803217935179,1.0
-14.660765716752074,1.0
-14.573499254152358,1.0
-14.486232791552641,1.0
-14.398966328952925,1.0
-14.311699866353209,1.0
-14.224433403753492,1.0
-14.137166941153776,1.0
-14.04990047855406,1.0
-13.962634015954343,1.0
-13.875367553354627,1.0
-13.78810109075491,1.0
-13.700834628155194,1.0
-13.613568165555478,1.0
-13.526301702955761,1.0
-13.439035240356045,1.0
-13.351768777756329,1.0
-13.264502315156612,1.0
-13.177235852556896,1.0
-13.08996938995718,1.0
-13.002702927357463,1.0
-12.915436464757747,1.0
-12.82817000215803,1.0
-12.740903539558314,1.0
-12.653637076958598,1.0
-12.566370614358881,1.0
-12.479104151759165,1.0
-12.391837689159448,1.0
-12.304571226559732,1.0
-12.217304763960016,1.0
-12.1300383013603,1.0
-12.042771838760583,1.0
-11.955505376160867,1.0
-11.86823891356115,1.0
-11.780972450961434,1.0
-11.693705988361717,1.0
-11.606439525762001,1.0
-11.519173063162285,1.0
-11.431906600562568,1.0
-11.344640137962852,1.0
-11.257373675363135,1.0
-11.17010721276342,1.0
-11.082840750163703,1.0
-10.995574287563986,1.0
-10.90830782496427,1.0
-10.821041362364554,1.0
-10.733774899764837,1.0
-10.64650843716512,1.0
-10.559241974565404,1.0
-10.471975511965688,1.0
-10.384709049365972,1.0
-10.297442586766255,1.0
-10.210176124166539,1.0
-10.122909661566823,1.0
-10.035643198967106,1.0
-9.94837673636739,1.0
-9.861110273767673,1.0
-9.773843811167957,1.0
-9.68657734856824,1.0
-9.599310885968524,1.0
-9.512044423368808,1.0
-9.424777960769092,1.0
-9.337511498169375,1.0
-9.250245035569659,1.0
-9.162978572969942,1.0
-9.075712110370226,1.0
-8.98844564777051,1.0
-8.901179185170793,1.0
-8.813912722571077,1.0
