x,sec(x)
-31.41592653589793,1.000000056258952
-31.328660073298213,1.0038199518782078
-31.241393610698495,1.0154268394729062
-31.154127148098777,1.0352766258444484
-31.06686068549906,1.0641786328211709
-30.97959422289934,1.1033795646926754
-30.892327760299622,1.154703667349406
-30.805061297699904,1.220774453547493
-30.717794835100186,1.305407011278241
-30.630528372500468,1.4142129884069095
-30.54326190990075,1.5557226301895295
-30.45599544730103,1.7434442555697751
-30.368728984701313,1.9999944508530616
-30.281462522101595,2.36620192620299
-30.194196059501877,2.9238052974910973
-30.10692959690216,3.8637059453161977
-30.01966313430244,5.758780211723229
-29.932396671702723,11.473711515338634
-29.845130209103004,-3.1464196506686234E13
-29.757863746503286,-11.473711515331232
-29.670597283903568,-5.75878021172112
-29.58333082130385,-3.8637059453153757
-29.496064358704132,-2.923805297490585
-29.408797896104414,-2.366201926202698
-29.321531433504695,-1.9999944508528396
-29.234264970904977,-1.7434442555696328
-29.14699850830526,-1.555722630189411
-29.05973204570554,-1.414212988406829
-28.972465583105823,-1.305407011278171
-28.885199120506105,-1.2207744535474447
-28.797932657906387,-1.154703667349363
-28.71066619530667,-1.1033795646926459
-28.62339973270695,-1.064178632821146
-28.536133270107232,-1.0352766258444326
-28.448866807507514,-1.0154268394728947
-28.361600344907796,-1.0038199518782027
-28.274333882308078,-1.0000000562589522
-28.18706741970836,-1.003817930730189
-28.09980095710864,-1.0154256087242453
-28.012534494508923,-1.0352756669295933
-27.925268031909205,-1.0641775181115556
-27.838001569309487,-1.1033777977869765
-27.75073510670977,-1.1547004832921788
-27.66346864411005,-1.2207745650917357
-27.576202181510332,-1.30540865817471
-27.488935718910614,-1.4142141855962131
-27.401669256310896,-1.555724088447316
-27.314402793711178,-1.7434468944972812
-27.22713633111146,-2.0000000325241922
-27.13986986851174,-2.3662015919825965
-27.052603405912024,-2.9238044019743596
-26.965336943312305,-3.863703055730171
-26.878070480712587,-5.758770450698623
-26.79080401811287,-11.47371324467467
-26.70353755551315,1.082596064271754E13
-26.616271092913433,11.473713244651371
-26.529004630313715,5.758770450692588
-26.441738167713996,3.8637030557276097
-26.35447170511428,2.923804401972876
-26.26720524251456,2.366201591981695
-26.179938779914842,2.0000000325235527
-26.092672317315124,1.7434468944968393
-26.005405854715406,1.5557240884469739
-25.918139392115688,1.4142141855959616
-25.83087292951597,1.3054086581745077
-25.74360646691625,1.220774565091584
-25.656340004316533,1.1547004832920558
-25.569073541716815,1.1033777977868848
-25.481807079117097,1.0641775181114839
-25.39454061651738,1.035275666929544
-25.30727415391766,1.015425608724212
-25.220007691317942,1.0038179307301733
-25.132741228718224,1.0000000562589522
-25.045474766118506,1.0038199518782183
-24.958208303518788,1.015426839472928
-24.87094184091907,1.0352766258444817
-24.78367537831935,1.0641786328212177
-24.696408915719633,1.1033795646927376
-24.609142453119915,1.1547036673494862
-24.521875990520197,1.220774453547596
-24.43460952792048,1.305407011278373
-24.34734306532076,1.4142129884070802
-24.260076602721043,1.5557226301897542
-24.172810140121324,1.7434442555700749
-24.085543677521606,1.9999944508534804
-23.998277214921888,2.3662019262035994
-23.91101075232217,2.923805297492067
-23.823744289722452,3.863705945317941
-23.736477827122734,5.758780211727172
-23.649211364523016,11.473711515354491
-23.561944901923297,-6.548432193498812E12
-23.47467843932358,-11.473711515315388
-23.38741197672386,-5.758780211717179
-23.300145514124143,-3.8637059453136358
-23.212879051524425,-2.9238052974896163
-23.125612588924707,-2.36620192620209
-23.03834612632499,-1.9999944508524212
-22.95107966372527,-1.7434442555693315
-22.863813201125552,-1.5557226301891878
-22.776546738525834,-1.4142129884066585
-22.689280275926116,-1.305407011278039
-22.602013813326398,-1.220774453547341
-22.51474735072668,-1.1547036673492823
-22.42748088812696,-1.1033795646925841
-22.340214425527243,-1.0641786328210991
-22.252947962927525,-1.035276625844399
-22.165681500327807,-1.0154268394728732
-22.07841503772809,-1.003819951878192
-21.99114857512837,-1.0000000562589522
-21.903882112528652,-1.0038179307301998
-21.816615649928934,-1.0154256087242668
-21.729349187329216,-1.0352756669296268
-21.642082724729498,-1.0641775181116022
-21.55481626212978,-1.1033777977870385
-21.46754979953006,-1.1547004832922596
-21.380283336930344,-1.2207745650918391
-21.293016874330625,-1.3054086581748425
-21.205750411730907,-1.4142141855963837
-21.11848394913119,-1.5557240884475398
-21.03121748653147,-1.743446894497582
-20.943951023931753,-2.000000032524611
-20.856684561332035,-2.3662015919832093
-20.769418098732316,-2.923804401975331
-20.6821516361326,-3.8637030557319125
-20.59488517353288,-5.758770450702567
-20.507618710933162,-11.473713244690511
-20.420352248333444,4.691249611844267E12
-20.333085785733726,11.473713244635531
-20.245819323134008,5.758770450688643
-20.15855286053429,3.863703055725867
-20.07128639793457,2.923804401971906
-19.984019935334853,2.366201591981082
-19.896753472735135,2.000000032523134
-19.809487010135417,1.7434468944965387
-19.7222205475357,1.5557240884467496
-19.63495408493598,1.4142141855957908
-19.547687622336262,1.3054086581743753
-19.460421159736544,1.2207745650914805
-19.373154697136826,1.154700483291975
-19.285888234537108,1.1033777977868229
-19.19862177193739,1.0641775181114372
-19.11135530933767,1.0352756669295102
-19.024088846737953,1.0154256087241904
-18.936822384138235,1.003817930730163
-18.849555921538517,1.0000000562589522
-18.7622894589388,1.0038199518782291
-18.67502299633908,1.0154268394729495
